[2024/03/28 21:35:20.075][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 393 productIDAsString = 0189 
[2024/03/28 21:35:20.076][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2240 productIDAsString = 08C0 
[2024/03/28 21:35:20.077][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2240 productIDAsString = 08C0 
[2024/03/28 21:35:20.078][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2242 productIDAsString = 08C2 
[2024/03/28 21:35:20.079][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2242 productIDAsString = 08C2 
[2024/03/28 21:35:20.080][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 380 productIDAsString = 017C 
[2024/03/28 21:35:20.081][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4418 productIDAsString = 1142 
[2024/03/28 21:35:20.082][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4436 productIDAsString = 1154 
[2024/03/28 21:35:20.083][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4459 productIDAsString = 116B 
[2024/03/28 21:35:20.084][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4489 productIDAsString = 1189 
[2024/03/28 21:35:20.085][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4494 productIDAsString = 118E 
[2024/03/28 21:35:20.086][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4539 productIDAsString = 11BB 
[2024/03/28 21:35:20.087][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4440 productIDAsString = 1158 
[2024/03/28 21:35:20.088][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4440 productIDAsString = 1158 
